S.No.,District Code,District Name (In English),Sub-District Code,Sub-District Name (In English),Village Code,Village Version,Village Name (In English),Village Name (In Local),Village Category,Village Status,Census 2001 Code,Census 2011 Code,State Code,State Name (In English),key
"1","551",North Goa,"5610",Bardez,"626704","1",Aldona (Ct),,Rural,Inhabitant,"40113000","626704","30",Goa,bardez-aldona
"2","551",North Goa,"5610",Bardez,"626694","1",Anjuna (Ct),,Rural,Inhabitant,"3800","626694","30",Goa,bardez-anjuna
"3","551",North Goa,"5610",Bardez,"626673","1",Arpora,,Rural,Inhabitant,"3900","626673","30",Goa,bardez-arpora
"4","551",North Goa,"5610",Bardez,"626672","1",Assagao,,Rural,Inhabitant,"3700","626672","30",Goa,bardez-assagao
"5","551",North Goa,"5610",Bardez,"626668","1",Assonora,,Rural,Inhabitant,"3300","626668","30",Goa,bardez-assonora
"6","551",North Goa,"5610",Bardez,"626678","1",Bastora,,Rural,Inhabitant,"4400","626678","30",Goa,bardez-bastora
"7","551",North Goa,"5610",Bardez,"626695","1",Calangute (Ct),,Rural,Inhabitant,"40108000","626695","30",Goa,bardez-calangute
"8","551",North Goa,"5610",Bardez,"626685","1",Calvim,,Rural,Inhabitant,"5200","626685","30",Goa,bardez-calvim
"9","551",North Goa,"5610",Bardez,"626663","1",Camurlim,,Rural,Inhabitant,"2800","626663","30",Goa,bardez-camurlim
"10","551",North Goa,"5610",Bardez,"626677","1",Canca,,Rural,Inhabitant,"4300","626677","30",Goa,bardez-canca
"11","551",North Goa,"5610",Bardez,"626697","1",Candolim (Ct),,Rural,Inhabitant,"40109000","626697","30",Goa,bardez-candolim
"12","551",North Goa,"5610",Bardez,"626691","1",Colvale (Ct),,Rural,Inhabitant,"40104000","626691","30",Goa,bardez-colvale
"13","551",North Goa,"5610",Bardez,"626683","1",Corjuem,,Rural,Inhabitant,"5000","626683","30",Goa,bardez-corjuem
"14","551",North Goa,"5610",Bardez,"945828","1",Corlim,Corlim,Urban,Inhabitant,,"0","30",Goa,bardez-corlim
"15","551",North Goa,"5610",Bardez,"945829","1",Cunchelim,Cunchelim,Urban,Inhabitant,,"0","30",Goa,bardez-cunchelim
"16","551",North Goa,"5610",Bardez,"626693","1",Guirim (Ct),,Rural,Inhabitant,"40106000","626693","30",Goa,bardez-guirim
"17","551",North Goa,"5610",Bardez,"626671","1",Marna,,Rural,Inhabitant,"3600","626671","30",Goa,bardez-marna
"18","551",North Goa,"5610",Bardez,"626689","1",Marra,,Rural,Inhabitant,"5700","626689","30",Goa,bardez-marra
"19","551",North Goa,"5610",Bardez,"945830","1",Mhapsa,Mhapsa,Urban,Inhabitant,,"0","30",Goa,bardez-mapusa
"20","551",North Goa,"5610",Bardez,"626692","1",Moira (Ct),,Rural,Inhabitant,"4800","626692","30",Goa,bardez-moira
"21","551",North Goa,"5610",Bardez,"626667","1",Moitem,,Rural,Inhabitant,"3200","626667","30",Goa,bardez-moitem
"22","551",North Goa,"5610",Bardez,"626682","1",Nachinola,,Rural,Inhabitant,"4900","626682","30",Goa,bardez-nachinola
"23","551",North Goa,"5610",Bardez,"626665","1",Nadora,,Rural,Inhabitant,"3000","626665","30",Goa,bardez-nadora
"24","551",North Goa,"5610",Bardez,"626674","1",Nagoa,,Rural,Inhabitant,"4000","626674","30",Goa,bardez-nagoa
"25","551",North Goa,"5610",Bardez,"626698","1",Nerul (Ct),,Rural,Inhabitant,"5600","626698","30",Goa,bardez-nerul
"26","551",North Goa,"5610",Bardez,"626686","1",Olaulim,,Rural,Inhabitant,"5300","626686","30",Goa,bardez-olaulim
"27","551",North Goa,"5610",Bardez,"626662","1",Oxel,,Rural,Inhabitant,"2700","626662","30",Goa,bardez-oxel
"28","551",North Goa,"5610",Bardez,"626679","1",Paliem,,Rural,Inhabitant,"4500","626679","30",Goa,bardez-paliem
"29","551",North Goa,"5610",Bardez,"626675","1",Parra,,Rural,Inhabitant,"4100","626675","30",Goa,bardez-parra
"30","551",North Goa,"5610",Bardez,"626701","1",Penha-De-Franca (Ct),,Rural,Inhabitant,"40111000","626701","30",Goa,bardez-penha-de-franca
"31","551",North Goa,"5610",Bardez,"626700","1",Pilerne (Ct),,Rural,Inhabitant,"5800","626700","30",Goa,bardez-pilerne
"32","551",North Goa,"5610",Bardez,"626666","1",Pirna,,Rural,Inhabitant,"3100","626666","30",Goa,bardez-pirna
"33","551",North Goa,"5610",Bardez,"626687","1",Pomburpa,,Rural,Inhabitant,"5400","626687","30",Goa,bardez-pomburpa
"34","551",North Goa,"5610",Bardez,"626684","1",Ponolem,,Rural,Inhabitant,"5100","626684","30",Goa,bardez-ponolem
"35","551",North Goa,"5610",Bardez,"626680","1",Punola,,Rural,Inhabitant,"4600","626680","30",Goa,bardez-punola
"36","551",North Goa,"5610",Bardez,"626699","2",Reis-Magos,Reis-Magos,Rural,Inhabitant,"40110000","626699","30",Goa,bardez-reis-magos
"37","551",North Goa,"5610",Bardez,"626664","1",Revora,,Rural,Inhabitant,"2900","626664","30",Goa,bardez-revora
"38","551",North Goa,"5610",Bardez,"626696","1",Saligao (Ct),,Rural,Inhabitant,"40107000","626696","30",Goa,bardez-saligao
"39","551",North Goa,"5610",Bardez,"626702","2",Salvador-Do-Mundo (Ct),,Rural,Inhabitant,"5900","626702","30",Goa,bardez-salvador-do-mundo
"40","551",North Goa,"5610",Bardez,"626688","1",Sangolda,,Rural,Inhabitant,"5500","626688","30",Goa,bardez-sangolda
"41","551",North Goa,"5610",Bardez,"626690","1",Siolim (Ct),,Rural,Inhabitant,"40103000","626690","30",Goa,bardez-siolim
"42","551",North Goa,"5610",Bardez,"626669","1",Sircaim,,Rural,Inhabitant,"3400","626669","30",Goa,bardez-sircaim
"43","551",North Goa,"5610",Bardez,"626703","1",Socorro (Ct),,Rural,Inhabitant,"40112000","626703","30",Goa,bardez-socorro
"44","551",North Goa,"5610",Bardez,"626670","1",Tivim,,Rural,Inhabitant,"3500","626670","30",Goa,bardez-tivim
"45","551",North Goa,"5610",Bardez,"626681","1",Ucassaim,,Rural,Inhabitant,"4700","626681","30",Goa,bardez-ucassaim
"46","551",North Goa,"5610",Bardez,"626676","1",Verla,,Rural,Inhabitant,"4200","626676","30",Goa,bardez-verla
"47","551",North Goa,"5612",Bicholim,"626745","1",Adwalpale,,Rural,Inhabitant,"9000","626745","30",Goa,bicholim-adwalpale
"48","551",North Goa,"5612",Bicholim,"626758","1",Amone,,Rural,Inhabitant,"10300","626758","30",Goa,bicholim-amone
"49","551",North Goa,"5612",Bicholim,"917385","2",Arvalem,,Rural,Inhabitant,,"0","30",Goa,bicholim-arvalem
"50","551",North Goa,"5612",Bicholim,"626754","1",Aturli,,Rural,Inhabitant,"9900","626754","30",Goa,bicholim-aturli
"51","551",North Goa,"5612",Bicholim,"945831","1",Bicholim,Bicholim,Urban,Inhabitant,,"0","30",Goa,bicholim-bicholim
"52","551",North Goa,"5612",Bicholim,"924814","1",Bordem,Bordem,Urban,Inhabitant,,"0","30",Goa,bicholim-bordem
"53","551",North Goa,"5612",Bicholim,"626763","1",Carapur (Ct),,Rural,Inhabitant,"40115000","626763","30",Goa,bicholim-carapur
"54","551",North Goa,"5612",Bicholim,"626760","1",Cotombi,,Rural,Inhabitant,"10500","626760","30",Goa,bicholim-cotombi
"55","551",North Goa,"5612",Bicholim,"626757","1",Cudnem,,Rural,Inhabitant,"10200","626757","30",Goa,bicholim-cudnem
"56","551",North Goa,"5612",Bicholim,"626750","1",Curchirem,,Rural,Inhabitant,"9500","626750","30",Goa,bicholim-curchirem
"57","551",North Goa,"5612",Bicholim,"626742","1",Dumacem,,Rural,Inhabitant,"8700","626742","30",Goa,bicholim-dumacem
"58","551",North Goa,"5612",Bicholim,"924818","1",Lamgao,Lamgao,Urban,Inhabitant,,"0","30",Goa,bicholim-lamgao
"59","551",North Goa,"5612",Bicholim,"626744","1",Latambarcem,,Rural,Inhabitant,"8900","626744","30",Goa,bicholim-latambarcem
"60","551",North Goa,"5612",Bicholim,"626752","1",Maem,,Rural,Inhabitant,"9700","626752","30",Goa,bicholim-maem
